gloss_sequence,vietnamese_sentence
ngay chung_toi bi dau_bung,Ngày chúng tôi bị đau bụng.
bay_gio nguoi_khiem_thinh bi met,Bây giờ người khiếm thính bị mệt.
thang nguoi_khiem_thinh bi dau_tay,Tháng người khiếm thính bị đau tay.
mua_he em bi di_ung,Mùa hè em bị dị ứng.
ngay_mai em xem,Ngày mai em xem.
chi muon tra o cho,Chị muốn trà ở chợ.
toi muon tra o nha,Tôi muốn trà ở nhà.
den de,Đèn dễ.
bo can mot_tram com,Bố cần một trăm cơm.
thay_giao se choi,Thầy giáo sẽ chơi.
em can trai_cay,Em cần trái cây.
anh muon banh_mi o sieu_thi,Anh muốn bánh mì ở siêu thị.
con_trai bi met nen can goi_bac_si,Con trai bị mệt nên cần gọi bác sĩ.
buoi_toi thay_giao dang mua_sam,Buổi tối thầy giáo đang mua sắm.
bay_gio me bi dau_bung,Bây giờ mẹ bị đau bụng.
co muon di nha_ga,Cô muốn đi nhà ga.
ong can ba_muoi nuoc,Ông cần ba mươi nước.
kinh_lup mau_den,Kính lúp màu đen.
ban muon mua ban,Bạn muốn mua bàn.
hom_qua co_giao bi sot,Hôm qua cô giáo bị sốt.
thu_tu ong dang an,Thứ tư ông đang ăn.
thu_sau ong bi chay_mau,Thứ sáu ông bị chảy máu.
chu_nhat ong dang lam_bai_tap,Chủ nhật ông đang làm bài tập.
thay_giao can den khong,Thầy giáo có cần đèn không?
co khong muon o,Cô không muốn ô.
toi_nay co bi ho,Tối nay cô bị ho.
buoi_sang toi nghe,Buổi sáng tôi nghe.
buoi_toi em bi bi_thuong,Buổi tối em bị bị thương.
thu_ba thay_giao dang uong,Thứ ba thầy giáo đang uống.
ao nang,Áo nặng.
thu_tu toi bi cam_lanh,Thứ tư tôi bị cảm lạnh.
buoi_trua me bi cam_lanh,Buổi trưa mẹ bị cảm lạnh.
em can noi_com_dien,Em cần nồi cơm điện.
chu_nhat chi bi ho,Chủ nhật chị bị ho.
chi muon pho,Chị muốn phở.
buoi_trua bo se di van_phong,Buổi trưa bố sẽ đi văn phòng.
con_gai thich khau_trang,Con gái thích khẩu trang.
mua_he co_giao bi dau_hong,Mùa hè cô giáo bị đau họng.
buoi_toi thay_giao dang noi,Buổi tối thầy giáo đang nói.
chi dang giat_do,Chị đang giặt đồ.
thu_ba co bi dau_lung,Thứ ba cô bị đau lưng.
nam benh_nhan bi cam_lanh,Năm bệnh nhân bị cảm lạnh.
thang anh ngu,Tháng anh ngủ.
thu_tu em dang di_bo,Thứ tư em đang đi bộ.
bay_gio me bi buon_non,Bây giờ mẹ bị buồn nôn.
con_gai o nha_ga,Con gái ở nhà ga.
chu_nhat nguoi_khiem_thinh bi dau_tay,Chủ nhật người khiếm thính bị đau tay.
buoi_toi am_uot,Buổi tối ẩm ướt.
ngay thay_giao dang mua_sam,Ngày thầy giáo đang mua sắm.
co_giao di benh_vien,Cô giáo đi bệnh viện.
ban bi dau_hong nen can goi_bac_si,Bạn bị đau họng nên cần gọi bác sĩ.
thu_bay ba bi dau_chan,Thứ bảy bà bị đau chân.
thu_nam me bi met,Thứ năm mẹ bị mệt.
me dang lam_bai_tap,Mẹ đang làm bài tập.
buoi_chieu ban noi,Buổi chiều bạn nói.
bo tim ao,Bố tìm áo.
buoi_chieu co_giao di_hoc,Buổi chiều cô giáo đi học.
buoi_toi chi se di lop_hoc,Buổi tối chị sẽ đi lớp học.
con_gai cam_thay vui,Con gái cảm thấy vui.
chi can bay nuoc_cam,Chị cần bảy nước cam.
ba di cho,Bà đi chợ.
bay_gio chi bi kho_tho,Bây giờ chị bị khó thở.
buoi_sang benh_nhan dang nghi,Buổi sáng bệnh nhân đang nghỉ.
thu_bay con_gai dang ngu,Thứ bảy con gái đang ngủ.
buoi_sang ban bi dau_lung,Buổi sáng bạn bị đau lưng.
chu_nhat me an,Chủ nhật mẹ ăn.
ban muon mot_tram vo,Bạn muốn một trăm vở.
thu_bay co dang ngu,Thứ bảy cô đang ngủ.
mua_he toi bi chong_mat,Mùa hè tôi bị chóng mặt.
toi bi sot nen can thuc_an,Tôi bị sốt nên cần thức ăn.
mua_he ban bi chong_mat,Mùa hè bạn bị chóng mặt.
bay_gio chung_toi bi met,Bây giờ chúng tôi bị mệt.
mua_he em bi dau_tay,Mùa hè em bị đau tay.
thu_ba bo dang di_hoc,Thứ ba bố đang đi học.
toi mat ao,Tôi mất áo.
bay_gio con_gai bi dau_dau,Bây giờ con gái bị đau đầu.
buoi_sang anh se di phong_kham,Buổi sáng anh sẽ đi phòng khám.
buoi_chieu em dang di_cho,Buổi chiều em đang đi chợ.
chi muon mua nuoc,Chị muốn mua nước.
hom_qua toi lam_bai_tap,Hôm qua tôi làm bài tập.
bay_gio troi_lanh,Bây giờ trời lạnh.
hom_qua em dang di_bo,Hôm qua em đang đi bộ.
chu_nhat ba nghe,Chủ nhật bà nghe.
thu_sau benh_nhan dang chay,Thứ sáu bệnh nhân đang chạy.
buoi_sang em se di cong_ty,Buổi sáng em sẽ đi công ty.
hom_qua co dang mua_sam,Hôm qua cô đang mua sắm.
toi can ba but,Tôi cần ba bút.
ao xau,Áo xấu.
thu_hai con_gai dang nghi,Thứ hai con gái đang nghỉ.
buoi_sang chi lam_viec,Buổi sáng chị làm việc.
thu_ba em dang viet,Thứ ba em đang viết.
buoi_chieu co_giao xem,Buổi chiều cô giáo xem.
buoi_chieu bo dang tap_the_duc,Buổi chiều bố đang tập thể dục.
chu_nhat thay_giao dang tap_the_duc,Chủ nhật thầy giáo đang tập thể dục.
thu_hai ban an,Thứ hai bạn ăn.
con_trai can ban_phim,Con trai cần bàn phím.
buoi_trua ban bi dau_bung,Buổi trưa bạn bị đau bụng.
mua_he con_gai dang an,Mùa hè con gái đang ăn.
thu_sau anh dang lam_bai_tap,Thứ sáu anh đang làm bài tập.
co_giao muon kinh,Cô giáo muốn kính.
toi_nay ban bi chong_mat,Tối nay bạn bị chóng mặt.
ban muon mot_tram chao,Bạn muốn một trăm cháo.
toi bi sot nen can com,Tôi bị sốt nên cần cơm.
chi khong_thich nuoc_cam,Chị không thích nước cam.
ban muon giay,Bạn muốn giày.
em bi ho nen can thuoc,Em bị ho nên cần thuốc.
chi muon nuoc o nha_thuoc,Chị muốn nước ở nhà thuốc.
buoi_trua co dang viet,Buổi trưa cô đang viết.
toi_nay co bi dau_bung,Tối nay cô bị đau bụng.
nam bo bi bi_thuong,Năm bố bị bị thương.
hom_nay chi se di truong,Hôm nay chị sẽ đi trường.
thu_hai ba bi sot,Thứ hai bà bị sốt.
anh can tam nuoc,Anh cần tám nước.
buoi_chieu thay_giao bi dau_tay,Buổi chiều thầy giáo bị đau tay.
thu_ba ban dang nghi,Thứ ba bạn đang nghỉ.
chi can ba com,Chị cần ba cơm.
thu_tu co bi dau_hong,Thứ tư cô bị đau họng.
mua_he em lam_viec,Mùa hè em làm việc.
em muon tra o sieu_thi,Em muốn trà ở siêu thị.
em muon hai sua,Em muốn hai sữa.
ong muon sau chao,Ông muốn sáu cháo.
chu_nhat con_gai dang ngu,Chủ nhật con gái đang ngủ.
thang con_gai bi dau_bung,Tháng con gái bị đau bụng.
toi muon ba_muoi com,Tôi muốn ba mươi cơm.
ban muon sau com,Bạn muốn sáu cơm.
ong dang nghe,Ông đang nghe.
me muon di taxi,Mẹ muốn đi taxi.
ong muon mua ca_phe,Ông muốn mua cà phê.
chi muon di_benh_vien,Chị muốn đi bệnh viện.
toi_nay con_trai dang xem,Tối nay con trai đang xem.
bo muon giuong,Bố muốn giường.
anh can sac_pin khong,Anh có cần sạc pin không?
nguoi_than o phong_kham,Người thân ở phòng khám.
em muon nuoc_cam o lop_hoc,Em muốn nước cam ở lớp học.
chu_nhat me bi chong_mat,Chủ nhật mẹ bị chóng mặt.
buoi_trua con_gai bi bi_thuong,Buổi trưa con gái bị bị thương.
buoi_sang anh se di truong,Buổi sáng anh sẽ đi trường.
buoi_chieu me dang chay,Buổi chiều mẹ đang chạy.
em bi sot nen can com,Em bị sốt nên cần cơm.
thu_sau ba dang lam_bai_tap,Thứ sáu bà đang làm bài tập.
nguoi_khiem_thinh di ben_xe,Người khiếm thính đi bến xe.
chu_nhat chi bi cam_lanh,Chủ nhật chị bị cảm lạnh.
ba di phong_ngu,Bà đi phòng ngủ.
chu_nhat chi ngu,Chủ nhật chị ngủ.
chi cam_thay lanh,Chị cảm thấy lạnh.
bay_gio ong lam_bai_tap,Bây giờ ông làm bài tập.
sach mau_gi,Sách màu gì?
em can muoi nuoc_cam,Em cần mười nước cam.
mua_he chi doc_sach,Mùa hè chị đọc sách.
thu_tu nguoi_khiem_thinh bi chay_mau,Thứ tư người khiếm thính bị chảy máu.
buoi_toi ban dang lam_viec,Buổi tối bạn đang làm việc.
hom_nay thay_giao xem,Hôm nay thầy giáo xem.
thu_ba em bi dau_hong,Thứ ba em bị đau họng.
thu_tu co dang ngu,Thứ tư cô đang ngủ.
nam ong lam_viec,Năm ông làm việc.
thu_bay chung_toi bi dau_lung,Thứ bảy chúng tôi bị đau lưng.
bo thich rau,Bố thích rau.
con_gai can banh khong,Con gái có cần bánh không?
ban muon ca o cho,Bạn muốn cá ở chợ.
thu_tu toi dang viet,Thứ tư tôi đang viết.
con_gai den van_phong,Con gái đến văn phòng.
toi cam_thay troi_lanh,Tôi cảm thấy trời lạnh.
em can vo,Em cần vở.
anh can muoi chao,Anh cần mười cháo.
thu_bay co_giao dang rua_tay,Thứ bảy cô giáo đang rửa tay.
hom_nay co_giao bi chong_mat,Hôm nay cô giáo bị chóng mặt.
thay_giao thich sach,Thầy giáo thích sách.
toi muon bon but,Tôi muốn bốn bút.
thu_bay nguoi_khiem_thinh bi ho,Thứ bảy người khiếm thính bị ho.
thu_bay con_trai bi dau,Thứ bảy con trai bị đau.
buoi_chieu con_gai bi met,Buổi chiều con gái bị mệt.
ngay_mai benh_nhan bi di_ung,Ngày mai bệnh nhân bị dị ứng.
toi_nay ban noi,Tối nay bạn nói.
toi_nay nguoi_khiem_thinh dang di_bo,Tối nay người khiếm thính đang đi bộ.
buoi_toi toi bi cam_lanh,Buổi tối tôi bị cảm lạnh.
anh bi dau_hong nen can com,Anh bị đau họng nên cần cơm.
ngay ban dang di_hoc,Ngày bạn đang đi học.
chu_nhat co dang xem,Chủ nhật cô đang xem.
hom_qua bo dang di_bo,Hôm qua bố đang đi bộ.
thu_bay ban dang an,Thứ bảy bạn đang ăn.
thu_hai bo dang rua_tay,Thứ hai bố đang rửa tay.
chung_toi can ban_phim,Chúng tôi cần bàn phím.
buoi_trua em nghe,Buổi trưa em nghe.
ba can thuoc,Bà cần thuốc.
thu_hai chung_toi dang noi,Thứ hai chúng tôi đang nói.
buoi_trua me dang uong,Buổi trưa mẹ đang uống.
thu_ba chung_toi dang chay,Thứ ba chúng tôi đang chạy.
mua_he bo ngu,Mùa hè bố ngủ.
buoi_sang ba dang tap_the_duc,Buổi sáng bà đang tập thể dục.
hom_qua ban dang di_cho,Hôm qua bạn đang đi chợ.
ngay me dang tam,Ngày mẹ đang tắm.
buoi_chieu chi dang viet,Buổi chiều chị đang viết.
ban muon nuoc o sieu_thi,Bạn muốn nước ở siêu thị.
nam thay_giao dang choi,Năm thầy giáo đang chơi.
ong can nam dien_thoai,Ông cần năm điện thoại.
bay_gio nguoi_khiem_thinh dang nghi,Bây giờ người khiếm thính đang nghỉ.
thu_nam toi bi dau_dau,Thứ năm tôi bị đau đầu.
bay_gio em bi bi_thuong,Bây giờ em bị bị thương.
ngay ban bi cam_lanh,Ngày bạn bị cảm lạnh.
co bi met can goi_bac_si,"Cô bị mệt, cần gọi bác sĩ."
me dong_y,Mẹ đồng ý.
ban dang nau_an,Bạn đang nấu ăn.
ban co nghi_ngoi khong,Bạn có nghỉ ngơi không?
hom_nay co bi buon_non,Hôm nay cô bị buồn nôn.
ong muon di nha_thuoc,Ông muốn đi nhà thuốc.
toi muon mua bun,Tôi muốn mua bún.
thu_hai em dang an,Thứ hai em đang ăn.
chi bi sot nen can thuc_an,Chị bị sốt nên cần thức ăn.
thu_tu ong lam_viec,Thứ tư ông làm việc.
chu_nhat benh_nhan bi dau_hong,Chủ nhật bệnh nhân bị đau họng.
ban khong_thich thit,Bạn không thích thịt.
buoi_toi chi an,Buổi tối chị ăn.
thang con_trai bi cam_lanh,Tháng con trai bị cảm lạnh.
hom_qua co bi dau_tay,Hôm qua cô bị đau tay.
nguoi_khiem_thinh can thit khong,Người khiếm thính có cần thịt không?
toi tim quan,Tôi tìm quần.
buoi_toi chung_toi dang viet,Buổi tối chúng tôi đang viết.
buoi_toi con_trai dang noi,Buổi tối con trai đang nói.
hom_nay chung_toi dang chay,Hôm nay chúng tôi đang chạy.
chu_nhat chi dang di_bo,Chủ nhật chị đang đi bộ.
buoi_trua co bi dau_lung,Buổi trưa cô bị đau lưng.
buoi_toi em bi kho_tho,Buổi tối em bị khó thở.
buoi_chieu chi se di cong_ty,Buổi chiều chị sẽ đi công ty.
chung_toi bi dau_chan nen can goi_bac_si,Chúng tôi bị đau chân nên cần gọi bác sĩ.
thu_tu toi dang giat_do,Thứ tư tôi đang giặt đồ.
buoi_chieu toi dang di_bo,Buổi chiều tôi đang đi bộ.
chu_nhat ong bi sot,Chủ nhật ông bị sốt.
chu_nhat ong dang viet,Chủ nhật ông đang viết.
hom_qua bo se di nha_thuoc,Hôm qua bố sẽ đi nhà thuốc.
anh muon thit o benh_vien,Anh muốn thịt ở bệnh viện.
toi_nay ban bi ho,Tối nay bạn bị ho.
hom_qua benh_nhan bi dau_chan,Hôm qua bệnh nhân bị đau chân.
thay_giao bi dau_tay nen can goi_bac_si,Thầy giáo bị đau tay nên cần gọi bác sĩ.
ban dang di_hoc,Bạn đang đi học.
hom_nay toi bi chong_mat,Hôm nay tôi bị chóng mặt.
con_gai den sieu_thi,Con gái đến siêu thị.
con_gai can but,Con gái cần bút.
toi o giuong,Tôi ở giường.
thay_giao den cong_vien,Thầy giáo đến công viên.
thang em dang di_bo,Tháng em đang đi bộ.
thu_sau chi bi dau_lung,Thứ sáu chị bị đau lưng.
chu_nhat nguoi_khiem_thinh bi di_ung,Chủ nhật người khiếm thính bị dị ứng.
buoi_sang chi bi sot,Buổi sáng chị bị sốt.
ao nong,Áo nóng.
buoi_chieu nguoi_khiem_thinh dang an,Buổi chiều người khiếm thính đang ăn.
ngay_mai me bi ho,Ngày mai mẹ bị ho.
bo da doc_sach,Bố đã đọc sách.
ngay_mai co_giao dang xem,Ngày mai cô giáo đang xem.
thu_sau ong dang choi,Thứ sáu ông đang chơi.
chi khong lam_bai_tap,Chị không làm bài tập.
dien_thoai cham,Điện thoại chậm.
toi_nay thay_giao bi bi_thuong,Tối nay thầy giáo bị bị thương.
buoi_trua anh dang tam,Buổi trưa anh đang tắm.
thu_nam con_trai bi chong_mat,Thứ năm con trai bị chóng mặt.
co_giao bi dau_lung nen can goi_bac_si,Cô giáo bị đau lưng nên cần gọi bác sĩ.
nam co_giao ngu,Năm cô giáo ngủ.
buoi_chieu ba bi cam_lanh,Buổi chiều bà bị cảm lạnh.
chi muon hai sua,Chị muốn hai sữa.
benh_nhan thich giuong,Bệnh nhân thích giường.
ngay co_giao dang mua_sam,Ngày cô giáo đang mua sắm.
anh bi dau_dau nen can di_benh_vien,Anh bị đau đầu nên cần đi bệnh viện.
thang bo nghi,Tháng bố nghỉ.
ghe nang,Ghế nặng.
bo bi dau_dau nen can com,Bố bị đau đầu nên cần cơm.
thu_nam co_giao xem,Thứ năm cô giáo xem.
con_gai thich kinh_lup,Con gái thích kính lúp.
ban bi bi_thuong,Bạn bị bị thương.
buoi_toi nguoi_khiem_thinh bi dau_hong,Buổi tối người khiếm thính bị đau họng.
thang thay_giao dang nghe,Tháng thầy giáo đang nghe.
thu_nam co bi ho,Thứ năm cô bị ho.
ba khong muon ban_do,Bà không muốn bản đồ.
toi_nay ban xem,Tối nay bạn xem.
toi_nay me nghi,Tối nay mẹ nghỉ.
thu_bay con_gai bi dau_chan,Thứ bảy con gái bị đau chân.
chi muon ba banh_mi,Chị muốn ba bánh mì.
toi_nay co dang lam_viec,Tối nay cô đang làm việc.
chu_nhat me bi chay_mau,Chủ nhật mẹ bị chảy máu.
vui_long dan toi den cong_vien,Vui lòng dẫn tôi đến công viên.
anh can bao_nhieu but,Anh cần bao nhiêu bút?
thu_sau co_giao bi dau_chan,Thứ sáu cô giáo bị đau chân.
con_gai thich tivi,Con gái thích ti vi.
toi_nay ong se di phong_kham,Tối nay ông sẽ đi phòng khám.
buoi_chieu nguoi_khiem_thinh dang chay,Buổi chiều người khiếm thính đang chạy.
buoi_chieu chi nghe,Buổi chiều chị nghe.
toi_nay co dang rua_tay,Tối nay cô đang rửa tay.
thu_bay me dang uong,Thứ bảy mẹ đang uống.
buoi_chieu thay_giao bi buon_non,Buổi chiều thầy giáo bị buồn nôn.
mua_he ban dang di_cho,Mùa hè bạn đang đi chợ.
toi_nay ban bi di_ung,Tối nay bạn bị dị ứng.
con_gai o ben_xe,Con gái ở bến xe.
ban can chin but,Bạn cần chín bút.
me can di_benh_vien khong,Mẹ có cần đi bệnh viện không?
thu_ba benh_nhan dang mua_sam,Thứ ba bệnh nhân đang mua sắm.
ngay_mai toi ngu,Ngày mai tôi ngủ.
me muon muoi nuoc_cam,Mẹ muốn mười nước cam.
co_giao thich giup_do,Cô giáo thích giúp đỡ.
mua_dong thay_giao nghi,Mùa đông thầy giáo nghỉ.
buoi_toi chi dang di_cho,Buổi tối chị đang đi chợ.
me cam_thay sot,Mẹ cảm thấy sốt.
ong muon chin banh_mi,Ông muốn chín bánh mì.
ban can ba_muoi com,Bạn cần ba mươi cơm.
toi_nay co dang uong,Tối nay cô đang uống.
co can dien_thoai khong,Cô có cần điện thoại không?
thu_hai ong se di cong_ty,Thứ hai ông sẽ đi công ty.
co dang tam,Cô đang tắm.
hom_nay benh_nhan dang doc_sach,Hôm nay bệnh nhân đang đọc sách.
nguoi_khiem_thinh can ban,Người khiếm thính cần bàn.
thu_bay co_giao bi ho,Thứ bảy cô giáo bị ho.
mua_dong ong dang giat_do,Mùa đông ông đang giặt đồ.
toi_nay co dang chay,Tối nay cô đang chạy.
bay_gio bo lam_viec,Bây giờ bố làm việc.
hom_qua con_gai bi chay_mau,Hôm qua con gái bị chảy máu.
co mat giuong,Cô mất giường.
thu_ba chung_toi dang uong,Thứ ba chúng tôi đang uống.
thu_bay thay_giao bi buon_non,Thứ bảy thầy giáo bị buồn nôn.
thu_tu me dang di_hoc,Thứ tư mẹ đang đi học.
thang bo dang di_hoc,Tháng bố đang đi học.
thay_giao muon di nha_ga,Thầy giáo muốn đi nhà ga.
em bi ho nen can di_benh_vien,Em bị ho nên cần đi bệnh viện.
thu_sau chi bi dau_tay,Thứ sáu chị bị đau tay.
chi di cong_ty,Chị đi công ty.
toi mat dien_thoai,Tôi mất điện thoại.
thu_sau ba bi bi_thuong,Thứ sáu bà bị bị thương.
mua_he bo viet,Mùa hè bố viết.
buoi_sang me bi ho,Buổi sáng mẹ bị ho.
bay_gio ba bi dau_hong,Bây giờ bà bị đau họng.
bo can banh khong,Bố có cần bánh không?
em can ba_muoi but,Em cần ba mươi bút.
ong di phong_kham,Ông đi phòng khám.
thu_hai con_trai dang nau_an,Thứ hai con trai đang nấu ăn.
thu_ba em dang lam_bai_tap,Thứ ba em đang làm bài tập.
toi buon tai_sao,Tại sao tôi buồn?
nguoi_khiem_thinh den benh_vien,Người khiếm thính đến bệnh viện.
buoi_sang ban dang uong,Buổi sáng bạn đang uống.
me bi dau nen can goi_bac_si,Mẹ bị đau nên cần gọi bác sĩ.
chi muon nghi_ngoi,Chị muốn nghỉ ngơi.
ong muon tam den,Ông muốn tám đèn.
thay_giao dang mua_sam,Thầy giáo đang mua sắm.
bay_gio chi dang uong,Bây giờ chị đang uống.
benh_nhan thich ban,Bệnh nhân thích bàn.
toi muon noi_com_dien,Tôi muốn nồi cơm điện.
thang chung_toi bi kho_tho,Tháng chúng tôi bị khó thở.
thu_hai co_giao bi bi_thuong,Thứ hai cô giáo bị bị thương.
thu_ba ba dang ngu,Thứ ba bà đang ngủ.
co_giao thich noi_com_dien,Cô giáo thích nồi cơm điện.
mua_he co nghi,Mùa hè cô nghỉ.
thu_bay anh nghi,Thứ bảy anh nghỉ.
bo muon hai vo,Bố muốn hai vở.
buoi_sang con_gai bi dau,Buổi sáng con gái bị đau.
thang bo bi di_ung,Tháng bố bị dị ứng.
ban muon banh_mi o truong,Bạn muốn bánh mì ở trường.
thu_sau co dang mua_sam,Thứ sáu cô đang mua sắm.
bo khong nau_an,Bố không nấu ăn.
hom_nay chi dang nau_an,Hôm nay chị đang nấu ăn.
ba can giay,Bà cần giày.
bo can chin banh_mi,Bố cần chín bánh mì.
thu_ba chung_toi dang nghe,Thứ ba chúng tôi đang nghe.
hom_qua ong dang uong,Hôm qua ông đang uống.
thu_ba benh_nhan dang nghe,Thứ ba bệnh nhân đang nghe.
thu_hai nguoi_khiem_thinh dang choi,Thứ hai người khiếm thính đang chơi.
ong muon mot vo,Ông muốn một vở.
me muon com o nha,Mẹ muốn cơm ở nhà.
thay_giao can goi_bac_si,Thầy giáo cần gọi bác sĩ.
